Station_Code,Well_Name,LATITUDE,LONGITUDE,Elevation,COUNTY_NAME,BASIN_CODE,BASIN_NAME,Well_Depth,WELL_USE,WELL_TYPE
01N04E36Q001M,MRL-2W,37.88605556,-121.48183333,6.9,San Joaquin,5-022.15,Tracy,81.0,Observation,Single Well
01N04E36Q002M,MRL-3W,37.88486111,-121.48216667,-1.0,San Joaquin,5-022.15,Tracy,34.0,Observation,Single Well
01N04E36Q003M,MLNO-2,37.88602778,-121.48191667,8.6,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01N04E36Q004M,MLNO-1,37.88502778,-121.482,15.9,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01S04E28F001M,GLWL-2W,37.81855556,-121.54433333,16.1,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well
01S04E28F002M,GLWL-1W,37.82041667,-121.54444444,2.2,San Joaquin,5-022.15,Tracy,89.0,Observation,Single Well
01S04E28F003M,GLNO-1,37.81855556,-121.54380556,15.4,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well
01S04E28F004M,GLNO-2,37.82033333,-121.54361111,19.3,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well
01S04E28P001M,ORL-5W,37.81083333,-121.54263889,6.7,San Joaquin,5-022.15,Tracy,51.0,Observation,Single Well
01S04E28P002M,ORL-1W,37.81030556,-121.54488889,13.7,San Joaquin,5-022.15,Tracy,106.0,Observation,Single Well
01S04E28P003M,OLNO-4,37.8105,-121.54219444,16.9,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01S04E28P004M,OLNO-3,37.80969444,-121.54277778,14.1,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01S06E09E001M,UR-3A,37.86251731,-121.32102875,8.93,San Joaquin,5-022.15,Tracy,17.0,Observation,Single Well
01S06E09E002M,UR-3B,37.86251189,-121.32158937,6.51,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01S06E16D002M,UR-2A,37.85137325,-121.32365659,11.67,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well
01S06E16D003M,UR-2B,37.85122454,-121.324648,11.25,San Joaquin,5-022.15,Tracy,21.0,Observation,Single Well
01S06E29R001M,UR-1A,37.81110136,-121.32564733,15.383,San Joaquin,5-022.15,Tracy,28.0,Observation,Single Well
01S06E29R002M,UR-1B,37.81260856,-121.3256613,15.363,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well
01S06E29R003M,UR-1C,37.81306824,-121.32579517,15.333,San Joaquin,5-022.15,Tracy,40.0,Observation,Single Well
03N04E11L001M,ND69,38.120444444,-121.50941666,-4.48,San Joaquin,5-022.01,Eastern San Joaquin,25.0,Observation,Single Well
04N04E01N001M,ND-21B,38.21975,-121.4975,0.0,San Joaquin,5-022.01,Eastern San Joaquin,35.0,Observation,Single Well
04N04E02B001M,ND34,38.232889,-121.507028,9.63,Sacramento,5-021.66,Solano,20.0,Observation,Single Well
04N04E10Q001M,ND39MA,38.20441667,-121.5280556,-3.37,Sacramento,5-021.66,Solano,100.0,Observation,Part of a nested/multi-completion well
04N04E10Q002M,ND39MB,38.20441667,-121.5280556,-3.37,Sacramento,5-021.66,Solano,100.0,Observation,Part of a nested/multi-completion well
04N04E12M001M,ND38MA,38.2108889,-121.5020556,-2.58,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N04E12M002M,ND38MB,38.2108889,-121.5020556,-2.58,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N04E13A001M,ND23MA,38.20469444,-121.4808889,3.52,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N04E13A002M,ND23MB,38.20469444,-121.4808889,3.52,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N04E27F001M,ND45,38.16880456,-121.5287087,3.52,San Joaquin,5-022.01,Eastern San Joaquin,25.0,Observation,Single Well
04N04E34N001M,ND48MA,38.14825,-121.53608333,-7.38,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N04E34N002M,ND48MB,38.14825,-121.53608333,-7.38,San Joaquin,5-022.01,Eastern San Joaquin,100.0,Observation,Part of a nested/multi-completion well
04N05E07N002M,ND-22,38.20625,-121.47936,3.52,San Joaquin,5-022.01,Eastern San Joaquin,20.0,Observation,Part of a nested/multi-completion well
05N03E09L001M,PI-5A,38.29020604,-121.64733086,17.61,Solano,5-021.66,Solano,43.0,Observation,Single Well
05N03E09L002M,PI-5B,38.29019763,-121.64736277,17.97,Solano,5-021.66,Solano,82.0,Observation,Single Well
05N03E15F001M,Ryer MW-7,38.27965087,-121.63236835,-1.76,Solano,5-021.66,Solano,40.0,Observation,Single Well
05N03E15F002M,Ryer MW-8,38.27964821,-121.63238779,-1.62,Solano,5-021.66,Solano,15.0,Observation,Single Well
05N03E15P001M,Ryer MW-5,38.27280057,-121.62985774,-2.91,Solano,5-021.66,Solano,40.0,Observation,Single Well
05N03E15P002M,Ryer MW-6,38.27280145,-121.62988366,-3.17,Solano,5-021.66,Solano,15.0,Observation,Single Well
05N03E16A001M,Ryer MW-9,38.28453651,-121.64187693,-1.73,Solano,5-021.66,Solano,40.0,Observation,Single Well
05N03E16A002M,Ryer MW-10,38.28453651,-121.64187693,-1.26,Solano,5-021.66,Solano,14.0,Observation,Single Well
05N03E16B001M,PI-6A,38.28471043,-121.64425711,16.41,Solano,5-021.66,Solano,31.0,Observation,Single Well
05N03E16B002M,PI-6B,38.28473692,-121.64425299,16.45,Solano,5-021.66,Solano,61.0,Observation,Single Well
05N03E16H001M,PI-7A,38.27892112,-121.6403016,15.87,Solano,5-021.66,Solano,27.0,Observation,Single Well
05N03E16H002M,PI-7B,38.27893819,-121.64032833,15.94,Solano,5-021.66,Solano,62.0,Observation,Single Well
05N03E16J001M,Ryer MW-3,38.27417177,-121.63988802,0.93,Solano,5-021.66,Solano,40.0,Observation,Single Well
05N03E16J002M,Ryer MW-4,38.27417072,-121.63990616,0.82,Solano,5-021.66,Solano,15.0,Observation,Single Well
05N03E16R001M,Ryer MW-11,38.2711299,-121.64191448,27.11,Solano,5-021.66,Solano,60.0,Observation,Single Well
05N03E16R002M,PI-8A,38.27267165,-121.64241576,15.7,Solano,5-021.66,Solano,27.0,Observation,Single Well
05N03E16R003M,PI-8B,38.2726972,-121.64239963,15.85,Solano,5-021.66,Solano,61.0,Observation,Single Well
05N03E20B001M,PI-3A,38.27028472,-121.66134915,13.85,Solano,5-021.66,Solano,27.0,Observation,Single Well
05N03E20B002M,PI-3B,38.27031076,-121.66134034,13.99,Solano,5-021.66,Solano,57.0,Observation,Single Well
05N03E20B003M,PI-3C,38.27032465,-121.66133658,13.96,Solano,5-021.66,Solano,99.0,Observation,Single Well
05N03E21G001M,PI-9A,38.26652,-121.6429347,15.34,Solano,5-021.66,Solano,26.0,Observation,Single Well
05N03E21G002M,PI-9B,38.2665424,-121.64291408,15.33,Solano,5-021.66,Solano,61.0,Observation,Single Well
05N03E21G003M,PI-9C,38.26656228,-121.64289534,15.33,Solano,5-021.66,Solano,98.0,Observation,Single Well
05N03E21H001M,Ryer MW-1,38.26574339,-121.64080961,0.21,Solano,5-021.66,Solano,40.0,Observation,Single Well
05N03E21H002M,Ryer MW-2,38.26574339,-121.64080961,0.36,Solano,5-021.66,Solano,14.0,Observation,Single Well
05N03E21L001M,PI-10A,38.26230448,-121.65030442,14.79,Solano,5-021.66,Solano,33.0,Observation,Single Well
05N03E21L002M,PI-10B,38.26230426,-121.65026937,14.85,Solano,5-021.66,Solano,60.0,Observation,Single Well
05N03E29A001M,PI-1A,38.25305822,-121.65674016,14.81,Solano,5-021.66,Solano,28.0,Observation,Single Well
05N03E29A002M,PI-1B,38.25307107,-121.65671031,14.79,Solano,5-021.66,Solano,76.0,Observation,Single Well
05N03E29C001M,PI-2A,38.25323585,-121.66649661,12.95,Solano,5-021.66,Solano,23.0,Observation,Single Well
05N03E29C002M,PI-2B,38.25325886,-121.66651141,12.85,Solano,5-021.66,Solano,64.0,Observation,Single Well
05N04E36G001M,ND13MA,38.241083,-121.489389,2.62,Sacramento,5-021.65,South American,100.0,Observation,Part of a nested/multi-completion well
05N04E36G002M,ND13MB,38.241083,-121.489389,2.62,Sacramento,5-021.65,South American,100.0,Observation,Part of a nested/multi-completion well
